id,name,reliability,source,url,reason
"tag","Tag","yellow","frogie","https://play.frogiee.one/algebra.html?url=https://images-opensocial.googleusercontent.com/gadgets/ifr?url=https://118473026-235917736205837253.preview.editmysite.com/uploads/b/146211889-618141766941606391/files/tag.xml&container=ig","source_ok_proxy_unverified"
"tanuki-sunset","Tanuki Sunset","yellow","frogie","https://3kh0.github.io/projects/tanuki-sunset/index.html","source_ok_proxy_unverified"
"tomb-of-the-mask","Tomb Of The Mask","yellow","frogie","https://adfree-sz-games.github.io/Games9/tomb","source_ok_proxy_unverified"
"toss-the-turtle","Toss The Turtle","yellow","frogie","https://3kh0.github.io/projects/tosstheturtle/index.html","source_ok_proxy_unverified"
"tube-jumpers","Tube Jumpers","yellow","frogie","https://3kh0.github.io/projects/tube-jumpers/index.html","source_ok_proxy_unverified"
"uno","Uno","yellow","frogie","https://adfree-sz-games.github.io/Games9/uno/index.html","source_ok_proxy_unverified"
"venge","Venge","yellow","frogie","https://play.frogiee.one/algebra.html?url=https://venge.io","source_ok_proxy_unverified"
"we-become-what-we-behold","We Become What We Behold","yellow","frogie","https://mr-funkinguy.github.io/gfile/wbwwb/index.html","source_ok_proxy_unverified"
"zombs-royale-2","Zombs Royale","yellow","frogie","https://play.frogiee.one/algebra.html?url=https://fortnite.io","source_ok_proxy_unverified"
"jetpack-joyride","Jetpack Joyride","yellow","gn-math","https://adfree-sz-games.github.io/Games5/jetpack-joyride/","source_ok_proxy_unverified"
"temple-run-2","Temple Run 2","yellow","gn-math","https://3kh0.github.io/projects/temple-run-2/index.html","source_ok_proxy_unverified"
"99-balls","99 Balls","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games5/99balls/","source_ok_proxy_unverified"
"bad-ice-cream-2","Bad Ice Cream 2","yellow","gn-math","https://adfree-sz-games.github.io/Games5/bad-ice-cream-2","source_ok_proxy_unverified"
"bad-ice-cream-3","Bad Ice Cream 3","yellow","gn-math","https://adfree-sz-games.github.io/Games5/bad-ice-cream-3","source_ok_proxy_unverified"
"blockpost","Blockpost","yellow","gn-math","https://adfree-sz-games.github.io/Games6/blockpost","source_ok_proxy_unverified"
"bloxorz","Bloxorz","yellow","gn-math","https://adfree-sz-games.github.io/games/bloxx","source_ok_proxy_unverified"
"blumgi-rocket","Blumgi Rocket","yellow","gn-math","https://adfree-sz-games.github.io/Games11/blumgi-rocket/game","source_ok_proxy_unverified"
"breaklock","Breaklock","yellow","gn-math","https://adfree-sz-games.github.io/Games7/breaklock/","source_ok_proxy_unverified"
"crazy-cars","Crazy Cars","yellow","gn-math","https://adfree-sz-games.github.io/Games11/crazy-cars/game","source_ok_proxy_unverified"
"doge-miner","Doge Miner","yellow","gn-math","https://3kh0.github.io/projects/DogeMiner/index.html","source_ok_proxy_unverified"
"doodle-jump","Doodle Jump","yellow","gn-math","https://3kh0.github.io/projects/doodle-jump/index.html","source_ok_proxy_unverified"
"dragon-vs-bricks","Dragon Vs Bricks","yellow","gn-math","https://adfree-sz-games.github.io/Games6/dragon-vs-bricks","source_ok_proxy_unverified"
"draw-the-hill","Draw The Hill","yellow","gn-math","https://3kh0.github.io/projects/draw-the-hill/index.html","source_ok_proxy_unverified"
