status,id,title,families,domains,reason,url
"dead_launch","legend-of-zelda-ocarina-of-time","Legend Of Zelda Ocarina Of Time","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=legend-of-zelda-ocarina-of-time"
"dead_launch","legend-of-zelda-phantom-hourglass","Legend Of Zelda Phantom Hourglass","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=legend-of-zelda-phantom-hourglass"
"dead_launch","legend-of-zelda-the-minish-cap","Legend Of Zelda The Minish Cap","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=legend-of-zelda-the-minish-cap"
"dead_launch","legend-of-zelda-the-spirit-tracks","Legend Of Zelda The Spirit Tracks","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=legend-of-zelda-the-spirit-tracks"
"dead_launch","masked-forces-unlimited","Masked Forces Unlimited","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=masked-forces-unlimited"
"dead_launch","midnight-shift","Midnight Shift","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=midnight-shift"
"dead_launch","mountain-bike-runner","Mountain Bike Runner","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=mountain-bike-runner"
"dead_launch","my-friend-pedro","My Friend Pedro","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=my-friend-pedro"
"dead_launch","my-friend-pedro-arena","My Friend Pedro Arena","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=my-friend-pedro-arena"
"dead_launch","papas-bakeria","Papa's Bakeria","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=papas-bakeria"
"dead_launch","papas-cheeseria","Papa's Cheeseria","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=papas-cheeseria"
"dead_launch","papas-cupcakeria","Papa's Cupcakeria","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=papas-cupcakeria"
"dead_launch","papas-sushiria","Papa's Sushiria","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=papas-sushiria"
"dead_launch","plinko-with-cheats","Plinko With Cheats","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=plinko-with-cheats"
"dead_launch","resident-evil-3","Resident Evil 3","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=resident-evil-3"
"dead_launch","rogue-sergeant","Rogue Sergeant","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=rogue-sergeant"
"dead_launch","saul-goodman-run","Saul Goodman Run","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=saul-goodman-run"
"dead_launch","schoolboy-runaway","Schoolboy Runaway","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=schoolboy-runaway"
"dead_launch","shred-sauce","Shred Sauce","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=shred-sauce"
"dead_launch","skibidi-backrooms","Skibidi Backrooms","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=skibidi-backrooms"
"dead_launch","slender","Slender","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=slender"
"dead_launch","slendy-tubbies","Slendy Tubbies","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=slendy-tubbies"
"dead_launch","slow-roads","Slow Roads","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=slow-roads"
"dead_launch","stackball-io","Stackball IO","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=stackball-io"
"dead_launch","stake-mines","Stake Mines","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=stake-mines"
"dead_launch","survival-race-arena","Survival Race Arena","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=survival-race-arena"
"dead_launch","thats-not-my-neighbor","That's Not My Neighbor","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=thats-not-my-neighbor"
"dead_launch","the-impossible-quiz","The Impossible Quiz","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=the-impossible-quiz"
"dead_launch","the-man-from-the-window","The Man From The Window","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=the-man-from-the-window"
"dead_launch","the-worlds-hardest-game","The World's Hardest Game","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=the-worlds-hardest-game"
"dead_launch","undertale-yellow","Undertale Yellow","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=undertale-yellow"
"dead_launch","webfishing","Webfishing","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=webfishing"
"dead_launch","webgl-fluid","Webgl Fluid","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=webgl-fluid"
"dead_launch","you-vs-100-skibidi","You Vs. 100 Skibidi","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=you-vs-100-skibidi"
